question_id,domain,question_type,prompt_type,response_accuracy,source_validity
0,Medicine,niche,direct,yes,no
0,Medicine,niche,precise,yes,no
0,Medicine,niche,verification,yes,no
0,Medicine,niche,icl,yes,no
1,Medicine,niche,direct,yes,yes
1,Medicine,niche,precise,yes,no
1,Medicine,niche,verification,yes,yes
1,Medicine,niche,icl,yes,yes
2,Medicine,niche,direct,yes,no
2,Medicine,niche,precise,yes,no
2,Medicine,niche,verification,no,no
2,Medicine,niche,icl,yes,no
3,Medicine,niche,direct,yes,no
3,Medicine,niche,precise,yes,no
3,Medicine,niche,verification,no,no
3,Medicine,niche,icl,yes,no
4,Medicine,niche,direct,yes,no
4,Medicine,niche,precise,yes,no
4,Medicine,niche,verification,no,no
4,Medicine,niche,icl,yes,yes
5,Medicine,broad,direct,yes,no
5,Medicine,broad,precise,yes,no
5,Medicine,broad,verification,yes,no
5,Medicine,broad,icl,yes,no
6,Medicine,broad,direct,no,no
6,Medicine,broad,precise,no,no
6,Medicine,broad,verification,yes,no
6,Medicine,broad,icl,no,no
7,Medicine,broad,direct,no,no
7,Medicine,broad,precise,no,no
7,Medicine,broad,verification,no,no
7,Medicine,broad,icl,yes,yes
8,Medicine,broad,direct,yes,no
8,Medicine,broad,precise,yes,no
8,Medicine,broad,verification,yes,no
8,Medicine,broad,icl,yes,no
9,Medicine,broad,direct,yes,no
9,Medicine,broad,precise,no,no
9,Medicine,broad,verification,yes,no
9,Medicine,broad,icl,yes,no
10,Law,niche,direct,no,no
10,Law,niche,precise,yes,yes
10,Law,niche,verification,no,no
10,Law,niche,icl,no,no
11,Medicine,niche,direct,no,no
11,Law,niche,precise,yes,yes
11,Law,niche,verification,no,no
11,Law,niche,icl,no,no
12,Law,niche,direct,yes,no
12,Law,niche,precise,yes,yes
12,Medicine,niche,verification,no,no
12,Law,niche,icl,yes,no
13,Law,niche,direct,yes,yes
13,Law,niche,precise,yes,no
13,Law,niche,verification,no,no
13,Law,niche,icl,yes,no
14,Law,niche,direct,no,no
14,Law,niche,precise,no,no
14,Law,niche,verification,yes,no
14,Law,niche,icl,yes,yes
15,Law,broad,direct,no,no
15,Law,broad,precise,yes,yes
15,Law,broad,verification,yes,yes
15,Law,broad,icl,yes,no
16,Law,broad,direct,no,no
16,Law,broad,precise,no,no
16,Law,broad,verification,no,no
16,Law,broad,icl,no,no
17,Law,broad,direct,yes,no
17,Law,broad,precise,yes,no
17,Law,broad,verification,yes,no
17,Law,broad,icl,yes,no
18,Law,broad,direct,yes,no
18,Law,broad,precise,yes,no
18,Law,broad,verification,yes,no
18,Law,broad,icl,yes,no
19,Law,broad,direct,yes,no
19,Law,broad,precise,yes,no
19,Law,broad,verification,yes,yes
19,Law,broad,icl,yes,no
20,Tech,niche,direct,yes,no
20,Tech,niche,precise,yes,yes
20,Tech,niche,verification,yes,no
20,Tech,niche,icl,no,no
21,Tech,niche,direct,yes,no
21,Tech,niche,precise,yes,no
21,Tech,niche,verification,yes,no
21,Tech,niche,icl,yes,no
22,Tech,niche,direct,yes,no
22,Tech,niche,precise,yes,no
22,Tech,niche,verification,yes,no
22,Tech,niche,icl,yes,yes
23,Tech,niche,direct,yes,no
23,Tech,niche,precise,yes,no
23,Tech,niche,verification,yes,yes
23,Tech,niche,icl,yes,no
24,Tech,niche,direct,yes,yes
24,Tech,niche,precise,yes,no
24,Tech,niche,verification,no,no
24,Tech,niche,icl,yes,yes
25,Tech,broad,direct,no,no
25,Tech,broad,precise,yes,no
25,Tech,broad,verification,yes,no
25,Tech,broad,icl,yes,no
26,Tech,broad,direct,yes,no
26,Tech,broad,precise,yes,no
26,Tech,broad,verification,yes,no
26,Tech,broad,icl,yes,no
27,Tech,broad,direct,yes,no
27,Tech,broad,precise,yes,no
27,Tech,broad,verification,yes,yes
27,Tech,broad,icl,yes,no
28,Tech,broad,direct,yes,no
28,Tech,broad,precise,yes,yes
28,Tech,broad,verification,yes,no
28,Tech,broad,icl,yes,no
29,Tech,broad,direct,yes,no
29,Tech,broad,precise,yes,yes
29,Tech,broad,verification,no,no
29,Tech,broad,icl,yes,no
30,Sports,niche,direct,yes,no
30,Sports,niche,precise,no,no
30,Sports,niche,verification,yes,yes
30,Sports,niche,icl,no,no
31,Sports,niche,direct,yes,yes
31,Sports,niche,precise,yes,no
31,Sports,niche,verification,yes,no
31,Sports,niche,icl,yes,no
32,Sports,niche,direct,yes,yes
32,Sports,niche,precise,no,no
32,Sports,niche,verification,yes,yes
32,Sports,niche,icl,yes,no
33,Sports,niche,direct,yes,yes
33,Sports,niche,precise,yes,no
33,Sports,niche,verification,no,no
33,Sports,niche,icl,no,no
34,Sports,niche,direct,yes,no
34,Sports,niche,precise,yes,no
34,Sports,niche,verification,yes,no
34,Sports,niche,icl,yes,no
