question_id,domain,question_type,prompt_type,response_accuracy,source_validity
0,Medicine,niche,direct,yes,yes
0,Medicine,niche,precise,yes,yes
0,Medicine,niche,verification,yes,yes
0,Medicine,niche,icl,yes,yes
1,Medicine,niche,direct,yes,yes
1,Medicine,niche,precise,yes,yes
1,Medicine,niche,verification,yes,yes
1,Medicine,niche,icl,yes,yes
2,Medicine,niche,direct,yes,yes
2,Medicine,niche,precise,yes,yes
2,Medicine,niche,verification,yes,yes
2,Medicine,niche,icl,yes,yes
3,Medicine,niche,direct,yes,yes
3,Medicine,niche,precise,yes,yes
3,Medicine,niche,verification,yes,yes
3,Medicine,niche,icl,yes,yes
4,Medicine,niche,direct,yes,yes
4,Medicine,niche,precise,yes,yes
4,Medicine,niche,verification,yes,yes
4,Medicine,niche,icl,yes,yes
5,Medicine,broad,direct,yes,yes
5,Medicine,broad,precise,yes,yes
5,Medicine,broad,verification,yes,yes
5,Medicine,broad,icl,yes,yes
6,Medicine,broad,direct,yes,yes
6,Medicine,broad,precise,yes,yes
6,Medicine,broad,verification,no,yes
6,Medicine,broad,icl,no,yes
7,Medicine,broad,direct,yes,yes
7,Medicine,broad,precise,yes,yes
7,Medicine,broad,verification,yes,yes
7,Medicine,broad,icl,yes,yes
8,Medicine,broad,direct,yes,yes
8,Medicine,broad,precise,yes,no
8,Medicine,broad,verification,yes,yes
8,Medicine,broad,icl,yes,yes
9,Medicine,broad,direct,yes,yes
9,Medicine,broad,precise,yes,yes
9,Medicine,broad,verification,no,yes
9,Medicine,broad,icl,yes,yes
10,Law,niche,direct,yes,yes
10,Law,niche,precise,yes,yes
10,Law,niche,verification,yes,yes
10,Law,niche,icl,yes,yes
11,Law,niche,direct,yes,yes
11,Law,niche,precise,yes,yes
11,Law,niche,verification,yes,yes
11,Law,niche,icl,yes,yes
12,Law,niche,direct,yes,yes
12,Law,niche,precise,yes,yes
12,Law,niche,verification,yes,yes
12,Law,niche,icl,yes,yes
13,Law,niche,direct,yes,yes
13,Law,niche,precise,yes,yes
13,Law,niche,verification,yes,yes
13,Law,niche,icl,yes,yes
14,Law,niche,direct,yes,yes
14,Law,niche,precise,yes,yes
14,Law,niche,verification,yes,yes
14,Law,niche,icl,yes,yes
15,Law,broad,direct,yes,yes
15,Law,broad,precise,yes,yes
15,Law,broad,verification,yes,yes
15,Law,broad,icl,yes,yes
16,Law,broad,direct,yes,yes
16,Law,broad,precise,yes,yes
